servers.name;company;website
MarketEquityInc-Demo;Market Equity Inc;www.marketequity.com
MarketEquityInc-Live;Market Equity Inc;www.marketequity.com
MarketPulseFX-Trade;MarketPulse FX Limited;www.themarketpulsefx.com
Marketmates-Live;Marketmates Limited;www.marketmates.com
MarketsVox-Demo;MarketsVox (SC) Ltd;www.marketsvox.com
MarketsVox-Live;MarketsVox (SC) Ltd;www.marketsvox.com
Marketsall-Server;Marketsall Ltd;marketsall.com
AMarkets-Demo;AMarkets LLC;www.amarkets.com
AMarkets-Real;AMarkets LLC;www.amarkets.com
Amaricapital-Live;Amari Capital Ltd.;www.amaricapital.com
AmariMarkets-Live;Amari Markets Ltd.;www.amarimarkets.com
Emarmarkets-Demo;Emar Markets (Pty) Ltd;www.emarmarkets.com
Emarmarkets-Live;Emar Markets (Pty) Ltd;www.emarmarkets.com
SmartFinancialServices-Server;Smart Financial Services Limited;www.smartfxfin.com
SmartSecuritiesCommodities-Demo;Smart Securities and Commodities Limited;www.smartfx.com
SmartSecuritiesCommodities-Server;Smart Securities and Commodities Limited;www.smartfx.com
SmartTrader-Server;Smart Trader for Selling and Purchasing Online Electronic Trading Ltd;www.smarttraderiraq.com
SmartToolTrading-Live;SmartTool Trading SC Limited;www.axiainvestments.com
SmartcubeFX-Trade;Smartcube FX Limited;www.smartcubeforex.com
EMMarkets-Server;EMMarkets Limited;www.em-markets.com
FNmarketsMU-Server;FNmarkets (Mauritius) Ltd;fnmarkets.com
FNmarkets-Server;FNmarkets Ltd;fnmarketsglobal.com
STMarket-Demo;STMarket Company Limited;www.stmarket.com
STMarket-Live;STMarket Company Limited;www.stmarket.com
VSMarkets-Server;VSMarkets Ltd;vsmarkets.com
9XMarkets-Server;9X Markets Limited;www.9xmarkets.com
CAMarketsGlobal-Major;CA Markets Global Limited;www.camarketsglobal.com
Chimara-SRV01;Chimara Ltd;www.xltrade.net
E8Markets-Server;E8 Markets Ltd.;www.e8markets.com
ECMarketsNZ-MT5-Live04;EC Markets Financial Limited;www.ecmarkets.co.nz
ECMarkets-MT5-Live01;EC Markets Limited;www.ecmarkets.sc
ECMarketsLtd-Demo;EC Markets Ltd.;www.ecmarkets.mu
ECMarketsLtd-MT5-Live02;EC Markets Ltd.;www.ecmarkets.mu
ECMarketsLtd-MT5-Live03;EC Markets Ltd.;www.ecmarkets.mu
FPMarketsLLC-Demo;FP Markets LLC;www.fpmarkets.com
FPMarketsLLC-Live;FP Markets LLC;www.fpmarkets.com
FPMarketsKE-Demo;FP Markets Limited;www.fpmarkets.co.ke
FPMarketsKE-Live;FP Markets Limited;www.fpmarkets.co.ke
FPMarkets-Demo2;FP Markets Ltd.;www.fpmarkets.com/stl/
FPMarkets-Live2;FP Markets Ltd.;www.fpmarkets.com/stl/
GOMarketsIntl-Demo;GO Markets International Ltd.;www.int.gomarkets.com
GOMarketsIntl-Live;GO Markets International Ltd.;www.int.gomarkets.com
GOMarketsSVG-Demo;GO Markets LLC;www.gomarkets.ltd/en-svg/
GOMarketsSVG-Live;GO Markets LLC;www.gomarkets.ltd/en-svg/
GOMarketsLtd-Demo;GO Markets Ltd;www.gomarkets.eu
GOMarketsLtd-Live;GO Markets Ltd;www.gomarkets.eu
GlobalCapitalMarket-Live;Global Capital Market Limited;www.gcfx24.com
GlobalDynamicMarkets-Demo;Global Dynamic Markets Limited;www.dynamicmarkets.com
GlobalDynamicMarkets-Real;Global Dynamic Markets Limited;www.dynamicmarkets.com
GlobalFinancialContracts-Demo;Global Financial Contracts Ltd.;www.gfcmercado.com
GlobalFinancialContracts-Live;Global Financial Contracts Ltd.;www.gfcmercado.com
GlobalFuturesServices-Server;Global Futures Services Limited;www.gfsfutures.com
GlobalMarketsGroup-server;Global Markets Group Limited;www.gmgmarkets.co.uk
GlobalTauro-Server01;Global Tauro Ltd;www.mau.tauromarkets.com
XGLOBALFX-Server;XGLOBAL FX Limited;www.xglobalfx.com
EGlobalTrade-Classic;E-Global Trade and Finance Group, Inc.;www.markets4you.com
EGlobalTrade-Demo;E-Global Trade and Finance Group, Inc.;www.markets4you.com
IQGlobal-Trade;IQGlobal Limited;www.iqglobal-trade.com
XGlobalMarkets-ABFTrade;X Global Markets Ltd;www.xglobalmarkets.com
QQGlobalGroupLD-Live;QQ Global Group LD S.R.L.;www.qqglobalgroup.com
SRGlobalMarkets-Live;SR Global Markets Ltd;www.srglobalmarkets.com
STGlobalMarketsLtd-Live-1;ST Global Markets Ltd.;www.stgmarkets.com
UpGlobalMarkets-Trade;UP Global Markets Ltd;www.upforex.com
XMGlobal-MT5;XM Global Limited;www.xm.com
XMGlobal-MT5 10;XM Global Limited;www.xm.com
XMGlobal-MT5 11;XM Global Limited;www.xm.com
XMGlobal-MT5 12;XM Global Limited;www.xm.com
XMGlobal-MT5 13;XM Global Limited;www.xm.com
XMGlobal-MT5 14;XM Global Limited;www.xm.com
XMGlobal-MT5 15;XM Global Limited;www.xm.com
XMGlobal-MT5 16;XM Global Limited;www.xm.com
XMGlobal-MT5 17;XM Global Limited;www.xm.com
XMGlobal-MT5 2;XM Global Limited;www.xm.com
XMGlobal-MT5 4;XM Global Limited;www.xm.com
XMGlobal-MT5 5;XM Global Limited;www.xm.com
XMGlobal-MT5 6;XM Global Limited;www.xm.com
XMGlobal-MT5 7;XM Global Limited;www.xm.com
XMGlobal-MT5 8;XM Global Limited;www.xm.com
XMGlobal-MT5 9;XM Global Limited;www.xm.com
